,time,open,high,low,close,tick_volume,spread,real_volume
0,1664755320,0.97747,0.97916,0.97746,0.97916,6,57,0
1,1664755380,0.97917,0.97917,0.97907,0.97907,2,82,0
2,1664755440,0.97906,0.97911,0.97906,0.9791,9,92,0
3,1664755500,0.97939,0.97954,0.97939,0.97943,5,65,0
4,1664755560,0.97937,0.98052,0.97937,0.98007,15,65,0
5,1664755620,0.98008,0.98013,0.98002,0.98013,4,65,0
6,1664755680,0.97977,0.98012,0.97977,0.98012,8,65,0
7,1664755740,0.9801,0.98015,0.9801,0.98012,4,65,0
8,1664755800,0.98011,0.98072,0.97957,0.98042,10,65,0
9,1664755860,0.98009,0.9801,0.97894,0.97894,8,65,0
10,1664755920,0.97939,0.97943,0.97852,0.97901,10,65,0
11,1664755980,0.97902,0.97929,0.97902,0.97917,4,65,0
12,1664756040,0.97935,0.97935,0.97916,0.97918,8,65,0
13,1664756100,0.97927,0.97928,0.97907,0.97909,24,65,0
14,1664756160,0.97907,0.9791,0.97907,0.9791,17,65,0
15,1664756220,0.97932,0.97932,0.97908,0.97908,5,65,0
16,1664756280,0.97924,0.97924,0.97907,0.97907,5,65,0
17,1664756340,0.97901,0.97907,0.97901,0.97906,9,65,0
18,1664756400,0.97905,0.97907,0.97904,0.97907,5,65,0
19,1664756460,0.97907,0.97908,0.97907,0.97908,2,65,0
20,1664756520,0.9791,0.97931,0.9791,0.97931,7,42,0
21,1664756580,0.97951,0.97951,0.97918,0.97942,8,40,0
22,1664756640,0.97925,0.97943,0.97925,0.97939,6,34,0
23,1664756700,0.97929,0.97943,0.97926,0.97939,5,35,0
24,1664756760,0.9794,0.97949,0.97926,0.97949,13,28,0
25,1664756820,0.97949,0.97959,0.97949,0.97958,10,28,0
26,1664756880,0.97957,0.97999,0.97949,0.97958,10,49,0
27,1664756940,0.97955,0.98001,0.97955,0.97971,7,12,0
28,1664757000,0.97971,0.97971,0.97949,0.97958,48,15,0
29,1664757060,0.97958,0.97964,0.97958,0.97959,5,33,0
30,1664757120,0.97974,0.97984,0.97944,0.97944,3,46,0
31,1664757180,0.97944,0.97953,0.97944,0.97953,4,45,0
32,1664757240,0.97957,0.97988,0.97957,0.97987,15,28,0
33,1664757300,0.97983,0.97983,0.97952,0.97953,41,30,0
34,1664757360,0.97983,0.97983,0.97953,0.97958,7,46,0
35,1664757420,0.97958,0.97959,0.97956,0.97956,4,46,0
36,1664757480,0.97957,0.97957,0.97954,0.97956,6,46,0
37,1664757540,0.97959,0.97959,0.97955,0.97955,5,46,0
38,1664757600,0.97955,0.97982,0.97954,0.9796,4,46,0
39,1664757660,0.97982,0.97983,0.97954,0.97983,6,36,0
40,1664757720,0.97958,0.97983,0.97954,0.97983,10,45,0
41,1664757780,0.97983,0.97983,0.97944,0.97944,15,14,0
42,1664757840,0.97944,0.97955,0.97944,0.97955,5,20,0
43,1664757900,0.97955,0.97955,0.97935,0.97941,14,20,0
44,1664757960,0.97946,0.97948,0.97941,0.97946,7,23,0
